x,y,type,cone,saturation,n.s.,white,red,green,blue,yellow
63,98,2,1,0,0,0,0,40,0,0
69,100,3,2,0,5,24,7,4,0,0
62,82,2,3,0,14,21,2,3,0,0
63,77,3,4,0,3,22,14,1,0,0
67,71,3,5,0,0,14,5,1,0,0
75,72,2,7,0,5,6,0,9,0,0
68,94,3,8,0,8,11,1,0,0,0
70,87,3,9,0,3,13,0,4,0,0
75,92,2,11,0,3,14,0,3,0,0
78,86,3,12,0,1,14,5,0,0,0
84,95,3,13,0,0,2,18,0,0,0
75,101,3,14,0,0,7,12,1,0,0
81,107,2,15,0,0,13,0,7,0,0
75,113,3,17,0,4,21,0,25,0,0
67,109,2,18,0,16,44,4,6,0,0
74,108,2,19,0,6,32,1,11,0,0
84,89,3,20,0,0,12,8,0,0,0
88,82,3,21,0,0,9,11,0,0,0
92,88,2,22,0,0,46,1,13,0,0
98,85,2,23,0,2,6,0,52,0,0
92,71,3,24,0,1,5,34,0,0,0
87,76,3,25,0,0,17,3,0,0,0
94,79,3,26,0,1,25,13,1,0,0
57,83,3,27,0,1,17,1,1,0,0
51.39,87.445,3,28,0,2,3,55,0,0,0
55,76,2,29,0,3,51,1,5,0,0
61,71,3,30,0,1,15,4,0,0,0
68,65,3,31,0,0,12,8,0,0,0
86,65,3,33,0,1,2,17,0,0,0
70,59,3,34,0,0,3,17,0,0,0
77,59,3,35,0,7,12,0,1,0,0
85,60,2,36,0,1,17,0,2,0,0
84,72,3,37,0,0,13,6,1,0,0
61,64,2,39,0,1,19,0,0,0,0
54,55,3,40,0,0,34,2,24,0,0
59,58,3,41,0,1,13,1,5,0,0
60,52,3,42,0,0,0,0,20,0,0
96,68,3,43,0,0,12,8,0,0,0
98,73,3,44,0,0,6,13,1,0,0
105,71,2,45,0,1,2,0,17,0,0
63,46,3,46,0,2,17,1,0,0,0
69,48,2,47,0,5,10,5,0,0,0
75,54,3,48,0,0,15,5,0,0,0
85,53,2,49,0,0,13,0,7,0,0
75,48,3,50,0,0,20,0,0,0,0
74,42,3,51,0,12,24,2,2,0,0
65,55,3,52,0,3,1,16,0,0,0
67,41,3,53,0,0,7,0,13,0,0
73,36,3,54,0,2,0,18,0,0,0
83,39,3,55,0,1,10,0,9,0,0
90,39,3,56,0,6,3,11,0,0,0
86,47,3,57,0,7,7,6,0,0,0
81.021,43.641,3,58,0,0,12,0,8,0,0
52,29,3,59,0,0,20,0,0,0,0
49,35,2,60,0,2,13,0,5,0,0
49,50,3,61,0,0,26,6,8,0,0
49,41,3,62,0,2,18,0,0,0,0
59,38,3,64,0,3,12,5,0,0,0
51,96,3,65,0,7,5,8,0,0,0
47,91,3,66,0,0,2,18,0,0,0
48,105,2,67,0,0,20,0,0,0,0
49,82,3,68,0,1,1,18,0,0,0
40,116,2,69,0,2,15,0,3,0,0
32,106,3,70,0,10,8,2,0,0,0
34,112,2,71,0,4,38,0,18,0,0
43,99,3,72,0,0,16,4,0,0,0
41,93,3,73,0,0,13,27,0,0,0
38,106,3,74,0,1,16,0,3,0,0
64,105,2,76,0,0,3,0,17,0,0
62,113,3,77,0,2,17,1,0,0,0
61,120,3,78,0,2,18,0,0,0,0
68,123,2,79,0,0,17,1,2,0,0
58,106,3,80,0,2,28,10,0,0,0
54,116,3,81,0,0,12,8,0,0,0
