x,y,type,cone,saturation,n.s.,white,red,green,blue,yellow
109,106,3,3,0,2,11,0,0,7,0
108,100,2,4,0,4,13,0,0,3,0
118,108,3,6,0,1,18,0,0,1,0
121,102,2,7,0,2,6,0,0,12,0
110,70,3,11,0,6,13,1,0,0,0
132,66,2,13,0,3,16,0,0,1,0
136,57,3,15,0,1,19,0,0,0,0
98,78,2,19,0,1,3,0,0,16,0
93.863,71.535,2,20,0,3,3,0,0,14,0
97,67,3,21,0,2,13,0,0,5,0
104,63,3,22,0,15,20,5,0,0,0
110,59,3,23,0,8,13,19,0,0,0
105,78,2,24,0,6,5,0,0,9,0
112.82,80.698,3,25,0,0,20,0,0,0,0
114,75,3,26,0,0,13,7,0,0,0
102,57,3,27,0,17,9,14,0,0,0
96,54,2,28,0,1,22,16,0,1,0
113,50,3,29,0,2,2,16,0,0,0
107,50,3,30,0,4,9,7,0,0,0
109,44,2,31,0,7,11,0,0,2,0
101,46,3,32,0,10,6,0,0,4,0
103,39,2,33,0,5,13,0,0,2,0
115,63,3,34,0,0,13,4,0,3,0
102,83,2,35,0,0,3,0,0,17,0
97.339,86.701,2,36,0,0,3,0,0,17,0
101,104,3,38,0,5,8,0,0,7,0
96,109,2,39,0,2,18,0,0,0,0
101,123,3,42,0,7,7,0,0,6,0
104,111,3,43,0,6,9,0,0,5,0
92,81,2,44,0,2,2,0,0,16,0
87.544,86.701,2,45,0,1,11,0,0,8,0
84,93,3,46,0,0,12,8,0,0,0
82,102,3,47,0,7,30,1,0,2,0
78,108,2,48,0,2,12,0,0,6,0
86,109,3,49,0,2,25,2,0,11,0
91,104,3,50,0,1,18,0,0,1,0
90,98,2,51,0,1,17,0,0,2,0
94,91,3,52,0,8,12,0,0,0,0
77,94,3,53,0,6,8,1,0,5,0
86,77,2,59,0,2,13,0,0,5,0
78,74,3,60,0,1,9,10,0,0,0
84,71,3,61,0,7,9,4,0,0,0
90,67,3,62,0,9,6,5,0,0,0
81,65,2,63,0,9,6,0,0,5,0
87,60,3,64,0,1,7,12,0,0,0
89,55,3,65,0,6,29,3,0,2,0
94,60,3,66,0,10,26,4,0,0,0
88,42,2,68,0,12,24,0,0,4,0
83,36,2,69,0,11,15,0,0,14,0
74,42,2,70,0,5,17,3,0,15,0
76,36,2,71,0,7,11,0,0,22,0
77,29,3,72,0,7,4,0,0,9,0
86,30,2,73,0,5,15,0,0,0,0
90,36,2,74,0,5,9,0,0,6,0
94.495,38.992,2,75,0,4,13,0,0,3,0
97,34,3,76,0,13,6,0,0,1,0
68,46,3,77,0,8,7,4,0,1,0
71,31,2,78,0,2,4,0,0,14,0
67,55,3,79,0,10,22,7,0,1,0
69.535,60.161,3,80,0,3,30,2,0,5,0
65,66,2,81,0,8,19,0,0,13,0
59,59,3,82,0,4,11,2,0,3,0
60.689,50.998,3,83,0,14,2,4,0,0,0
60,139,3,86,0,3,9,0,0,8,0
47,129,3,88,0,1,9,0,0,10,0
47,135,3,89,0,2,15,0,0,3,0
63,122,3,90,0,1,18,0,0,1,0
76,60,2,93,0,1,14,0,0,5,0
70,92,2,94,0,5,6,0,0,9,0
69,86,2,95,0,8,8,0,0,4,0
65,80,2,96,0,13,3,0,0,4,0
70,73,2,97,0,3,13,0,0,4,0
72,67,3,98,0,4,13,1,0,2,0
75,114,3,99,0,7,28,4,0,1,0
82,117,2,100,0,9,20,3,0,8,0
89,115,3,101,0,4,38,5,0,13,0
69,107,3,102,0,4,18,16,0,2,0
74,100,2,103,0,4,26,3,0,7,0
46,115,2,104,0,1,18,0,0,1,0
53,111,2,105,0,8,2,0,0,10,0
58,107,2,106,0,4,7,0,0,9,0
60,97,2,107,0,2,4,0,0,14,0
63.532,113.56,3,108,0,0,1,19,0,0,0
58,115,2,109,0,11,6,0,0,3,0
43,123,3,110,0,2,17,0,0,1,0
106.5,87.649,3,111,0,2,24,0,0,14,0
118,94,2,112,0,1,18,0,0,1,0
124,96,2,113,0,2,4,0,0,14,0
128,105,2,115,0,2,17,0,0,1,0
135,105,2,116,0,1,14,0,0,5,0
123,89,3,117,0,0,14,6,0,0,0
129,86,2,118,0,6,8,0,0,6,0
131,92,3,119,0,1,5,0,0,14,0
120,82,3,122,0,0,6,14,0,0,0
122,75,3,123,0,1,14,5,0,0,0
132,73,3,124,0,4,15,0,0,1,0
69.851,97.443,3,126,0,4,14,0,0,2,0
81,55,3,127,0,1,19,0,0,0,0
87,49,3,128,0,5,8,7,0,0,0
94,46,3,129,0,1,17,2,0,0,0
86,123,3,131,0,2,34,2,0,2,0
69,118,3,133,0,0,17,1,0,2,0
73,52,3,134,0,0,15,4,0,1,0
111,93,3,135,0,9,9,1,0,1,0
114,86,3,136,0,0,19,1,0,0,0
114,102,2,137,0,3,11,4,0,2,0
91.336,127.14,3,138,0,1,29,9,0,1,0
93,137,3,139,0,0,17,0,0,3,0
87,135,3,140,0,0,12,0,0,8,0
83,129,3,141,0,5,15,0,0,0,0
121,62,2,142,0,0,7,0,0,13,0
118,56,2,143,0,0,19,0,0,1,0
129,60,2,144,0,9,7,0,0,4,0
125,53,2,145,0,0,14,0,0,6,0
130,51,3,146,0,5,13,1,0,1,0
