x,y,type,cone,saturation,n.s.,white,red,green,blue,yellow
115,121,2,1,0,0,5,0,15,0,0
111,113,3,2,0,6,10,1,3,0,0
109,106,3,3,0,7,11,2,0,0,0
108,100,2,4,0,5,8,5,2,0,0
118,108,3,6,0,2,28,4,6,0,0
121,102,2,7,0,5,21,0,14,0,0
125,69,3,9,0,12,23,2,3,0,0
118,69,3,10,0,5,10,4,1,0,0
110,70,3,11,0,4,7,29,0,0,0
132,66,2,13,0,1,31,0,28,0,0
136,57,3,15,0,0,27,12,1,0,0
143,59,3,16,0,1,0,19,0,0,0
139,73,2,17,0,18,2,0,0,0,0
98,78,2,19,0,1,3,0,26,0,0
93.863,71.535,2,20,0,1,16,2,1,0,0
97,67,3,21,0,4,8,8,0,0,0
104,63,3,22,0,23,9,8,0,0,0
110,59,3,23,0,1,11,28,0,0,0
105,78,2,24,0,3,4,0,13,0,0
112.82,80.698,3,25,0,0,16,0,4,0,0
114,75,3,26,0,1,2,17,0,0,0
102,57,3,27,0,14,13,13,0,0,0
96,54,2,28,0,1,24,15,0,0,0
113,50,3,29,0,0,5,15,0,0,0
107,50,3,30,0,6,8,5,1,0,0
109,44,2,31,0,3,11,0,6,0,0
101,46,3,32,0,1,15,0,4,0,0
103,39,2,33,0,1,11,0,8,0,0
115,63,3,34,0,0,20,0,0,0,0
102,83,2,35,0,0,1,0,39,0,0
97.339,86.701,2,36,0,1,16,0,3,0,0
97,100,2,37,0,2,32,0,6,0,0
101,104,3,38,0,2,28,10,0,0,0
96,109,2,39,0,6,32,0,2,0,0
98,116,3,40,0,2,15,3,0,0,0
94,121,3,41,0,0,8,32,0,0,0
101,123,3,42,0,0,18,0,2,0,0
104,111,3,43,0,2,16,0,2,0,0
92,81,2,44,0,1,22,0,27,0,0
87.544,86.701,2,45,0,2,16,0,2,0,0
84,93,3,46,0,13,11,15,1,0,0
82,102,3,47,0,5,13,2,0,0,0
78,108,2,48,0,7,29,0,4,0,0
86,109,3,49,0,4,30,1,5,0,0
91,104,3,50,0,1,18,1,0,0,0
90,98,2,51,0,2,17,0,1,0,0
94,91,3,52,0,0,18,2,0,0,0
77,94,3,53,0,5,27,2,6,0,0
97,131,3,54,0,0,6,14,0,0,0
102.39,136.94,3,55,0,1,14,5,0,0,0
105,131,3,56,0,1,10,9,0,0,0
112,134,3,57,0,0,11,9,0,0,0
109,125,2,58,0,0,7,0,13,0,0
86,77,2,59,0,10,30,2,8,0,0
78,74,3,60,0,8,17,13,2,0,0
84,71,3,61,0,3,8,9,0,0,0
90,67,3,62,0,6,11,3,0,0,0
81,65,2,63,0,12,20,1,7,0,0
87,60,3,64,0,1,3,16,0,0,0
89,55,3,65,0,1,28,10,1,0,0
94,60,3,66,0,11,21,8,0,0,0
88,42,2,68,0,16,28,0,5,0,0
83,36,2,69,0,12,15,0,22,0,0
74,42,2,70,0,8,33,1,17,0,0
76,36,2,71,0,5,20,0,32,0,0
77,29,3,72,0,19,11,0,9,0,0
86,30,2,73,0,20,15,1,2,0,0
90,36,2,74,0,11,16,2,9,0,0
94.495,38.992,2,75,0,10,19,1,8,0,0
97,34,3,76,0,10,23,3,2,0,0
68,46,3,77,0,5,14,0,1,0,0
71,31,2,78,0,2,4,0,14,0,0
67,55,3,79,0,9,14,16,1,0,0
69.535,60.161,3,80,0,12,22,5,1,0,0
65,66,2,81,0,8,25,2,5,0,0
59,59,3,82,0,11,5,4,0,0,0
60.689,50.998,3,83,0,8,10,0,2,0,0
60,139,3,86,0,6,20,5,9,0,0
65,134,3,87,0,2,16,2,0,0,0
47,129,3,88,0,16,21,0,3,0,0
47,135,3,89,0,7,30,2,1,0,0
63,122,3,90,0,5,29,4,2,0,0
63,127,3,91,0,3,10,7,0,0,0
76,60,2,93,0,5,27,0,8,0,0
70,92,2,94,0,3,14,2,1,0,0
69,86,2,95,0,10,8,1,1,0,0
65,80,2,96,0,7,3,0,10,0,0
70,73,2,97,0,1,16,1,2,0,0
72,67,3,98,0,5,13,2,0,0,0
75,114,3,99,0,6,14,0,0,0,0
82,117,2,100,0,4,16,0,0,0,0
89,115,3,101,0,4,16,0,0,0,0
69,107,3,102,0,2,4,14,0,0,0
74,100,2,103,0,3,16,1,0,0,0
46,115,2,104,0,7,11,2,0,0,0
53,111,2,105,0,10,6,0,4,0,0
58,107,2,106,0,3,14,0,3,0,0
60,97,2,107,0,1,10,0,9,0,0
63.532,113.56,3,108,0,1,0,19,0,0,0
58,115,2,109,0,15,5,0,0,0,0
43,123,3,110,0,2,17,0,1,0,0
106.5,87.649,3,111,0,0,5,0,15,0,0
118,94,2,112,0,1,19,0,0,0,0
124,96,2,113,0,1,12,0,7,0,0
128,105,2,115,0,9,11,0,0,0,0
135,105,2,116,0,4,13,0,3,0,0
123,89,3,117,0,0,5,15,0,0,0
129,86,2,118,0,0,14,0,6,0,0
131,92,3,119,0,0,5,0,15,0,0
120,82,3,122,0,0,3,17,0,0,0
122,75,3,123,0,0,11,9,0,0,0
132,73,3,124,0,0,20,0,0,0,0
69.851,97.443,3,126,0,2,16,0,2,0,0
81,55,3,127,0,0,19,0,1,0,0
87,49,3,128,0,0,6,14,0,0,0
94,46,3,129,0,0,19,1,0,0,0
86,123,3,131,0,6,14,0,0,0,0
69,118,3,133,0,0,18,1,1,0,0
73,52,3,134,0,2,17,1,0,0,0
111,93,3,135,0,5,9,6,0,0,0
114,86,3,136,0,0,8,12,0,0,0
114,102,2,137,0,1,14,5,0,0,0
91.336,127.14,3,138,0,2,12,0,6,0,0
93,137,3,139,0,1,12,0,7,0,0
87,135,3,140,0,0,15,0,5,0,0
83,129,3,141,0,6,12,0,2,0,0
121,62,2,142,0,1,9,0,10,0,0
118,56,2,143,0,0,19,1,0,0,0
129,60,2,144,0,1,14,0,5,0,0
125,53,2,145,0,0,12,0,8,0,0
130,51,3,146,0,1,18,0,1,0,0
